248 0 0 0  8637 8952 7692 8101 8811 9106 8113 9313 8034 8718 9600 8903 9115 8911 
256 0 0 0  8630 8913 7693 8068 8854 9077 8128 9282 8014 8693 9618 8875 9097 8929 
264 0 0 0  8643 8906 7690 8070 8880 9050 8127 9281 8003 8696 9619 8878 9086 8944 
271 0 0 0  8662 8906 7685 8080 8907 9034 8128 9306 8008 8700 9626 8903 9088 8958 
279 0 0 0  8667 8886 7684 8077 8919 9014 8120 9322 8006 8695 9631 8914 9098 8971 
287 0 0 0  8681 8883 7685 8082 8925 9001 8107 9323 8001 8703 9627 8911 9102 8972 
295 0 0 0  8703 8909 7684 8098 8943 9022 8111 9313 8018 8728 9626 8907 9091 8974 
303 0 0 0  8700 8913 7684 8096 8935 9035 8124 9298 8021 8724 9611 8907 9090 8973 
311 0 0 0  8672 8882 7690 8071 8908 9005 8123 9295 7992 8692 9594 8908 9107 8959 
319 0 0 0  8660 8877 7697 8070 8916 9000 8121 9311 7988 8697 9597 8907 9114 8958 
326 0 0 0  8681 8920 7695 8106 8942 9054 8129 9327 8028 8731 9606 8910 9109 8975 
334 0 0 0  8698 8948 7691 8132 8947 9085 8132 9325 8049 8739 9606 8914 9110 8980 
342 0 0 0  8689 8941 7691 8127 8940 9071 8131 9330 8038 8726 9603 8912 9110 8976 
350 0 0 0  8677 8938 7691 8122 8938 9063 8132 9350 8038 8725 9601 8910 9105 8979 
357 0 0 0  8680 8943 7689 8136 8940 9069 8132 9365 8044 8729 9605 8915 9107 8982 
365 0 0 0  8683 8941 7689 8135 8941 9069 8131 9342 8040 8730 9610 8913 9108 8977 
373 0 0 0  8679 8939 7685 8109 8939 9063 8132 9326 8041 8734 9604 8912 9105 8976 
382 0 0 0  8680 8927 7688 8093 8935 9044 8131 9349 8042 8734 9592 8929 9117 8975 
390 0 0 0  8678 8910 7702 8096 8938 9030 8129 9346 8028 8731 9589 8931 9127 8973 
398 0 0 0  8671 8910 7712 8096 8940 9029 8148 9315 8011 8725 9584 8909 9120 8974 
404 0 0 0  8664 8917 7717 8097 8923 9016 8162 9328 8007 8710 9571 8908 9119 8971 
412 0 0 0  8659 8913 7724 8105 8904 9003 8142 9359 8003 8694 9563 8928 9134 8958 
420 0 0 0  8661 8909 7721 8104 8907 9019 8126 9358 8007 8705 9578 8928 9141 8954 
429 0 0 0  8668 8932 7710 8113 8921 9042 8134 9355 8027 8731 9594 8918 9137 8972 
436 0 0 0  8673 8947 7718 8129 8915 9041 8135 9362 8025 8733 9584 8928 9139 8972 
443 0 0 0  8666 8923 7719 8114 8904 9026 8127 9357 8000 8720 9583 8932 9138 8957 
451 0 0 0  8664 8913 7696 8089 8921 9031 8126 9354 8012 8723 9609 8915 9124 8965 
459 0 0 0  8679 8934 7684 8094 8947 9055 8126 9355 8056 8733 9624 8911 9106 8979 
467 0 0 0  8684 8926 7692 8093 8946 9050 8128 9339 8065 8729 9612 8907 9094 8976 
475 0 0 0  8668 8901 7688 8064 8937 9014 8132 9312 8040 8720 9600 8881 9085 8971 
483 0 0 0  8665 8903 7676 8069 8937 9007 8123 9323 8033 8722 9599 8881 9086 8972 
490 0 0 0  8672 8912 7682 8100 8932 9026 8115 9350 8051 8730 9604 8909 9100 8973 
498 0 0 0  8670 8928 7691 8107 8938 9042 8120 9357 8066 8733 9608 8915 9108 8974 
506 0 0 0  8673 8945 7686 8099 8947 9049 8128 9358 8071 8733 9602 8908 9108 8980 
514 0 0 0  8677 8930 7693 8101 8929 9040 8120 9360 8067 8732 9595 8917 9123 8977 
522 0 0 0  8667 8907 7716 8104 8905 9021 8109 9373 8049 8727 9593 8925 9139 8956 
529 0 0 0  8661 8908 7717 8100 8907 9018 8112 9385 8035 8723 9592 8921 9131 8941 
537 0 0 0  8666 8911 7693 8097 8913 9022 8113 9365 8034 8724 9591 8911 9121 8946 
546 0 0 0  8661 8903 7687 8095 8900 9007 8104 9349 8037 8725 9589 8912 9126 8949 
553 0 0 0  8654 8900 7694 8094 8896 9003 8103 9362 8037 8717 9593 8915 9127 8946 
561 0 0 0  8660 8900 7692 8093 8908 9019 8104 9351 8036 8704 9597 8894 9116 8956 
569 0 0 0  8665 8900 7687 8092 8914 9030 8102 9333 8034 8697 9596 8883 9112 8968 
576 0 0 0  8656 8907 7687 8096 8910 9029 8112 9354 8034 8697 9601 8905 9116 8969 
586 0 0 0  8650 8905 7692 8098 8911 9030 8118 9365 8034 8691 9610 8912 9119 8966 
592 0 0 0  8657 8903 7695 8100 8916 9033 8106 9357 8033 8699 9616 8907 9125 8969 
600 0 0 0  8662 8908 7691 8101 8916 9031 8109 9360 8033 8718 9610 8908 9120 8974 
608 0 0 0  8662 8897 7687 8094 8914 9028 8123 9359 8034 8719 9600 8894 9104 8972 
615 0 0 0  8661 8883 7689 8092 8919 9025 8127 9349 8040 8707 9602 8880 9092 8969 
623 0 0 0  8651 8885 7690 8091 8922 9016 8136 9344 8032 8702 9604 8884 9089 8977 
631 0 0 0  8637 8882 7690 8076 8916 8998 8141 9352 8002 8697 9595 8888 9101 8969 
639 0 0 0  8645 8873 7689 8074 8910 8990 8132 9357 8001 8694 9593 8894 9106 8947 
647 0 0 0  8660 8878 7688 8096 8911 8998 8141 9352 8030 8699 9601 8902 9094 8949 
656 0 0 0  8661 8881 7690 8098 8910 9005 8160 9362 8031 8695 9599 8905 9098 8964 
662 0 0 0  8660 8882 7700 8095 8913 9017 8161 9387 8023 8703 9597 8910 9116 8969 
670 0 0 0  8663 8898 7716 8119 8925 9044 8159 9386 8034 8720 9600 8912 9120 8967 
678 0 0 0  8666 8915 7716 8132 8935 9068 8160 9372 8048 8728 9607 8904 9117 8972 
686 0 0 0  8676 8933 7697 8137 8939 9088 8155 9400 8065 8745 9609 8911 9123 8982 
694 0 0 0  8685 8949 7690 8159 8943 9104 8157 9433 8083 8764 9606 8922 9124 8991 
703 0 0 0  8683 8949 7692 8154 8949 9105 8164 9403 8080 8762 9611 8911 9114 8993 
709 0 0 0  8688 8940 7690 8124 8951 9096 8163 9364 8083 8754 9617 8899 9107 8994 
717 0 0 0  8695 8944 7702 8127 8949 9096 8164 9389 8103 8750 9607 8907 9114 8997 
725 0 0 0  8678 8937 7722 8137 8940 9091 8163 9421 8095 8734 9595 8919 9128 8987 
733 0 0 0  8658 8918 7714 8122 8934 9080 8157 9396 8073 8721 9601 8913 9123 8974 
741 0 0 0  8671 8924 7706 8119 8937 9082 8156 9381 8076 8731 9606 8910 9114 8974 
751 0 0 0  8686 8936 7717 8129 8922 9081 8155 9414 8083 8738 9597 8918 9120 8974 
758 0 0 0  8678 8920 7710 8131 8914 9069 8153 9421 8072 8734 9592 8916 9120 8970 
764 0 0 0  8666 8912 7706 8127 8943 9064 8156 9391 8071 8722 9595 8912 9112 8981 
772 0 0 0  8665 8916 7712 8113 8964 9052 8162 9383 8071 8706 9601 8911 9111 8997 
781 0 0 0  8665 8893 7699 8092 8962 9033 8164 9389 8053 8695 9601 8896 9105 8995 
788 0 0 0  8663 8887 7683 8089 8974 9032 8165 9376 8049 8696 9600 8878 9089 8995 
795 0 0 0  8667 8915 7688 8103 8986 9056 8166 9379 8066 8711 9603 8882 9087 9005 
803 0 0 0  8667 8919 7692 8103 8972 9065 8168 9388 8069 8723 9600 8889 9098 9004 
811 0 0 0  8664 8905 7686 8093 8968 9056 8165 9363 8068 8724 9591 8880 9089 8991 
819 0 0 0  8669 8910 7686 8096 8972 9055 8157 9354 8076 8720 9592 8877 9081 8989 
827 0 0 0  8680 8914 7690 8105 8956 9062 8156 9387 8074 8727 9596 8897 9101 8993 
834 0 0 0  8681 8915 7694 8106 8938 9059 8156 9400 8076 8745 9585 8913 9114 8987 
842 0 0 0  8680 8929 7694 8104 8938 9059 8144 9386 8097 8754 9582 8909 9108 8974 
850 0 0 0  8684 8929 7690 8105 8942 9068 8133 9390 8098 8757 9590 8907 9113 8970 
859 0 0 0  8677 8915 7692 8101 8938 9063 8133 9389 8076 8752 9586 8914 9123 8972 
866 0 0 0  8666 8909 7692 8095 8931 9048 8135 9372 8068 8738 9583 8911 9114 8971 
874 0 0 0  8664 8908 7691 8094 8932 9044 8133 9370 8073 8726 9582 8904 9114 8969 
881 0 0 0  8671 8912 7698 8100 8933 9046 8132 9394 8078 8731 9576 8920 9133 8973 
889 0 0 0  8671 8910 7707 8102 8921 9036 8129 9425 8070 8733 9570 8941 9144 8972 
